,word,count,rating
0,ürün,4537,4.860921313643376
1,alır,456,4.973684210526316
2,almaz,448,4.975446428571429
3,yor,483,4.935817805383023
4,yapmak,461,4.96529284164859
5,istemedim.,445,4.997752808988764
6,biraz,1470,4.959183673469388
7,kullanıp,446,4.986547085201794
8,deneyim,455,4.973626373626374
9,anlatabi,440,5.0
10,diye.,441,5.0
11,kulaklık,1944,4.792695473251029
12,yaklaşık,470,4.976595744680851
13,2,2344,4.954778156996587
14,ay,509,4.907662082514735
15,"kullanıyorum,",457,4.99781181619256
16,ses,2436,4.755747126436781
17,kalite,1823,4.838727372462973
18,gayet,938,4.880597014925373
19,güzel,1522,4.88107752956636
20,helek,440,5.0
21,bu,1754,4.845496009122007
22,fiyat,2122,4.947690857681432
23,bant,903,4.991140642303433
24,bir,3147,4.873212583412774
25,gör,1063,4.923800564440263
26,mikrofon,1215,4.8502057613168725
27,gelecek,448,4.988839285714286
28,olur,484,4.940082644628099
29,yaptık,458,4.989082969432315
30,telefon,1264,4.8085443037974684
31,görüşme,507,4.897435897435898
32,vs,494,4.923076923076923
33,il,718,4.814763231197771
34,deneyimledik,441,5.0
35,kadar,621,4.822866344605475
36,iyi,1690,4.815976331360947
37,iş,515,4.930097087378641
38,çıkarıyor,450,4.984444444444445
39,konuşurken,944,4.948093220338983
40,dış,1512,4.932539682539683
41,gürül,1603,4.933873986275733
42,2.,452,4.995575221238938
43,taraf,584,4.679794520547945
44,engellenip,440,5.0
45,karşı,476,4.964285714285714
46,dah,1730,4.879768786127167
47,net,967,4.947259565667012
48,ve,2982,4.875586854460094
49,tem,462,4.984848484848484
50,şekil,994,4.9396378269617705
51,gidiyor.,505,4.9405940594059405
52,şarj,1638,4.9352869352869355
53,konu,524,4.898854961832061
54,is,516,4.920542635658915
55,1,998,4.9448897795591185
56,saat,517,4.9361702127659575
57,gip,1099,4.884440400363967
58,süre,967,4.970010341261634
59,kutu,1009,4.953419226957384
60,doluyor,441,5.0
61,günlük,460,4.993478260869566
62,hayat,448,4.997767857142857
63,5-6,447,4.993288590604027
64,sür,522,4.921455938697318
65,kullanıyor,608,4.9144736842105265
66,ben,1193,4.842414082145851
67,3-4,447,4.997762863534676
68,gün,1469,4.968005445881552
69,idare,478,4.951882845188284
70,ediyor,507,4.9723865877712035
71,başarı,569,4.949033391915641
72,(kablosuz,440,5.0
73,özelliği,446,4.995515695067264
74,mevcut).,440,5.0
75,malzeme,593,4.912310286677909
76,oldukç,964,4.982365145228216
77,kaliteli.,460,4.995652173913044
78,boyutları,440,5.0
79,çok,2932,4.8731241473397
80,ne,544,4.832720588235294
81,büyük,497,4.933601609657948
82,küçük.,442,4.997737556561086
83,hızl,597,4.959798994974874
84,bağlan,514,4.92023346303502
85,iç,1805,4.838781163434903
86,galaxy,947,4.966209081309398
87,wearable,464,4.978448275862069
88,uygulama,964,4.954356846473029
89,cihaz,576,4.901041666666667
90,yükl,440,5.0
91,eğer,482,4.966804979253112
92,zaten,510,4.919607843137255
93,ilk,510,4.91764705882353
94,çıkardık,452,4.984513274336283
95,etkileş,440,5.0
96,giriyor,441,5.0
97,ekran,444,5.0
98,pencer,440,5.0
99,açılıyor,441,5.0
100,kolay,479,4.9728601252609606
101,bağlayabiliyorsunuz.,440,5.0
102,özellik,1221,4.882063882063882
103,aktif,1029,4.942662779397473
104,engelle,1005,4.957213930348258
105,(anc),443,5.0
106,şeffaf,905,4.997790055248619
107,mod,901,4.994450610432852
108,harika,618,4.96925566343042
109,çalışıyor.,509,4.962671905697446
110,engelleme,482,4.95850622406639
111,doğrultu,440,5.0
112,dışarı,938,4.978678038379531
113,gelen,486,4.909465020576132
114,heps,927,4.995685005393743
115,kesm,446,4.995515695067264
116,bil,551,4.8511796733212345
117,rahats,489,4.930470347648262
118,ediç,469,4.950959488272921
119,orta,615,4.860162601626016
120,kalkıyor,440,5.0
121,yeter,535,4.949532710280374
122,oluyor,480,4.941666666666666
123,zaten.,449,4.993318485523385
124,modunu,440,5.0
125,bult,448,4.982142857142857
126,dışar,475,4.978947368421053
127,yürür,899,4.976640711902114
128,veya,924,4.95995670995671
129,herhangi,466,4.9742489270386265
130,yer,501,4.908183632734531
131,etraf,454,4.9823788546255505
132,duyma,448,4.995535714285714
133,gerektik,448,5.0
134,mükemmel,621,4.977455716586151
135,görüyor,443,4.997742663656885
136,"düşük,",441,4.9977324263038545
137,or,468,4.97008547008547
138,yük,540,4.938888888888889
139,olmak,447,4.993288590604027
140,üzer,499,4.935871743486974
141,3,951,4.953732912723449
142,kademe,441,4.99546485260771
143,oluşuyor.,441,5.0
144,yapabilcek,440,5.0
145,anlatayım.,441,5.0
146,ekolayzer,450,5.0
147,mevcut,452,4.975663716814159
148,bass,515,4.94368932038835
149,"güçlendirme,",440,5.0
150,tiz,511,4.949119373776908
151,"dinamik,",442,4.997737556561086
152,seçenek,450,4.995555555555556
153,sunuyor.,451,4.995565410199556
154,ayrı,512,4.92578125
155,smartthings,441,5.0
156,birlik,465,4.987096774193549
157,çalışma,445,5.0
158,"düşürdüğünüzde,",440,5.0
159,kaybettik,446,4.993273542600897
160,bulamadık,440,5.0
161,bul,451,4.986696230598669
162,çıkarabilir,440,5.0
163,en,1067,4.9400187441424555
164,son,521,4.942418426103647
165,görüldük,440,5.0
166,kon,444,5.0
167,ulaşabilir,440,5.0
168,olmuş.,887,4.998872604284104
169,buds,536,4.873134328358209
170,si̇pari̇ş,440,5.0
171,edi̇yoruz,440,5.0
172,+,448,4.991071428571429
173,geli̇yor,441,5.0
174,geldi̇ği̇,440,5.0
175,gi̇bi̇,440,5.0
176,i̇ade,449,4.937639198218263
177,edi̇yorum,440,5.0
178,mağaza,445,4.997752808988764
179,i̇şi̇m,440,5.0
180,kalmadi,440,5.0
181,satıcı,1414,4.9504950495049505
182,pek,489,4.940695296523518
183,memnu,674,4.896142433234421
184,kalm,447,4.957494407158837
185,ancak,552,4.885869565217392
186,gerçek,580,4.958620689655173
187,mükemmel.,488,4.991803278688525
188,(galaxy,440,5.0
189,a71,443,4.997742663656885
190,kullanıcısıyım.),440,5.0
