,comment,rating
26,Ürün güzel paketlenmişti ve hızlı geldi. Montajı biraz uğraştırdı ama sonuçta sorun olmadan bitti. Ölçülerini fotoğraftan görebilirsiniz,5
27,"Kısa zamanda elime ulaştı özenle paketlenmişti, hasarsız teslim edildi. Ben aldıktan sonra biraz daha indirime girdiği için üzüldüm. Beklediğimden biraz küçük ama iş görür. Kurulumu biraz uğraştırdı.",4
28,"Masayı önce zigon gönderdiğimiz için  bir yıldız kırdım maalesef ki üst kısmında da beğenmediğim yerleri olduğu için(kaplama kaynaklı sanırım, birde çizikler var üst kısmında) ondan da bir yıldız kırdım. Çok beklentiyle almayın derim ama kendi başıma kolayca kurdum. Ve Hepsiburada müşteri hizmetleri çok ilgilendi. Teslimat 21 gözüküyordu, sonrasında teslimatı 24 ü diye yazmışlar. Bildirdiğim gibi çok yardımcı oldular.21.10.2023 te elimde oldu. Ayrıca teşekkürler.",3
29,Ürün gayet güzel paketlenmişti. Herhangi bir sorun olmadan kurdum kaliteli ürün tavsiye ederim 1 günde elime ulaştı.,5
30,Zarif hafif güzel kullanışlı,5
31,Şık ve kullanışlı bir ürün.Paketleme çok iyi.,4
32,Ürün güzel çok beğendik. Ama paketlenmesi çok kötü yapılmıştı. Paketin dört bir yanı açılmış şekilde teslim edildi.,4
33,"Ürünün paketlemesi çok iyiydi bu şekilde paketlenen bir ürünün hasar görme ihtimali neredeyse yok. ayarlanabilir olması ve boyutlarının benzerlerine göre daha geniş olması sebebiyle tercih etmiştik biz kalitesini de, görünüşünü de çok beğendik tavsiye ederiz",5
34,Satıcıdan başka üründe aldım acayip kolaydı yapması ama bu ürünün alt ayak kısmı delikten çok zor geçti. Onun dışında ayarlanması falan çok güzel masanın ben en düşük seviye alıp 1.5 yaşındaki kızım için kullanıyorum bazen de koltuk yanı sehpa oluyor baya kullanım alanı olan bir ürün bizim için.,5
35,"Mükemmel bir ürün, Ceramical'in neredeyse bütün çapraz bağı olmayan sade siyah beyaz mobilyalarını almaya başladım. FAKAT ÜRÜN EĞİMLİ. Açıklamada yazmıyor ama ergonomik bir eğim ile tasarlanmış, yani masa olarak kullanıcaksanız kötü duruyor ben takıntılıyım baya gözle görülür eğimi var. Yoksa mobilyalarının kalitesi üst noktada, masaları hep tam teraziye geliyor.",5
36,"Malzeme kalitesi, ürünün paketlenmesi hoşuma gitti. Kurulum çok kolay. Alınabilir bir ürün. Ayarlanabilir olması ve yükseklik ayarı güzel.",5
